Date,Congressman,District/Party,Contractor(s),Source
2025-11-26,Edwin Gardiola,Construction Workers Solidarity (CWS),"Newington Builders Inc, Lourel Corp, S-Ang General Construction",https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,James Ang Jr.,Uswag Ilonggo,"IBC International Corp, Allencon Corp",https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,Jernie Nisay,Pusong Pinoy,JVN Construction and Trading,https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,Augustina Pancho,Bulacan 3rd,C.M. Pancho Construction Inc.,https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,Joseph Lara,Cagayan 3rd,JLL Pulsar Construction,https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,Francisco Matugas,Surigao del Norte 1st,Boometrix Development Corp.,https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,Noel Rivera,Tarlac 3rd,Tarlac3-G and Development,https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases
2025-11-26,Zaldy Co (former),Ako Bicol (former),FS Co Builders and Supply,https://www.philstar.com/headlines/2025/11/27/2490186/co-7-lawmakers-face-plunder-graft-cases

