🚀 Starting JV-aware SEC contractor data processing...
📖 Processed: TITAN_BUILDERS.txt - Found 4 companies
📖 Processed: DESIGN.txt - Found 8 companies
📖 Processed: C_F_CONSTRUCTION_DEVELOPMENT_CORPORATION.txt - Found 10 companies
📖 Processed: SPECO_BUILDERS_INC.txt - Found 1 companies
📖 Processed: CHUCON_BUILDERS_CORPORATION.txt - Found 1 companies
📖 Processed: NEW_BIAN_YEK_COMMERCIAL_INC.txt - Found 1 companies
📖 Processed: JANN-NORRIS_CONSTRUCTION_AND_SUPPLIES_INC.txt - Found 1 companies
📖 Processed: DAHL_CONSTRUCTION.txt - Found 1 companies
📖 Processed: GDBS_BUILDERS_AND_ENTERPRISE.txt - Found 1 companies
📖 Processed: J_A_BUILDERS.txt - Found 10 companies
📖 Processed: PTM_DEVELOPMENT_CORP.txt - Found 1 companies
📖 Processed: DAHL_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: DD_ROSAL_CONSTRUCTION.txt - Found 2 companies
📖 Processed: FILCAN_UNITED_CONSTRUCTION_GENERAL_MERCHANDISE_CORP.txt - Found 1 companies
📖 Processed: EQUI-PARCO_CONSTRUCTION_COMPANY.txt - Found 1 companies
📖 Processed: RMA_BUILDERS_SUPPLIES_CORPORATION.txt - Found 1 companies
📖 Processed: FOUR_J.txt - Found 10 companies
📖 Processed: BJMJB_CONSTRUCTION.txt - Found 1 companies
📖 Processed: GLASS_SUPPLY_INC.txt - Found 10 companies
📖 Processed: HVC_SAGITTARIUS_COMMERCIAL_CONSTRUCTION.txt - Found 1 companies
📖 Processed: FREDEN_CONSTRUCTION.txt - Found 1 companies
📖 Processed: E._F._CHUA_CONSTRUCTION,_INC.txt - Found 2 companies
📖 Processed: FIRST_NORTHWAY_DEVELOPMENT_AND_CONSTRUCTION_CORPORATION.txt - Found 1 companies
📖 Processed: 1HB_CONSTRUCTION_Corp.txt - Found 1 companies
📖 Processed: CS_CONSTRUCTION_AND_SUPPLY.txt - Found 10 companies
📖 Processed: L_C_TING_CONSTRUCTION.txt - Found 2 companies
📖 Processed: R_R_C_CONSTRUCTION.txt - Found 10 companies
📖 Processed: TERAVERA_CORPORATION.txt - Found 1 companies
📖 Processed: H-ROYAL_CONSTRUCTION.txt - Found 3 companies
📖 Processed: AB_APONESTO_CONSTRUCTION_PARTS_AND_SUPPLY_INC.txt - Found 1 companies
📖 Processed: ALOJA_BUILDERS_AND_REALTY.txt - Found 1 companies
📖 Processed: FIAT_CONSTRUCTION_SERVICES.txt - Found 1 companies
📖 Processed: REPOLMAN_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: ALLEN_CONSTRUCTION.txt - Found 1 companies
📖 Processed: JUNACE_ENTERPRISE_INC.txt - Found 1 companies
📖 Processed: A_J_LAVA_BUIL.txt - Found 2 companies
📖 Processed: A2C_ENTERPRISES_INC.txt - Found 1 companies
📖 Processed: BERTO_LUCCI_BUILDERS.txt - Found 1 companies
📖 Processed: RICH_ADS_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: CENTERWAYS_CONSTRUCTION_AND_DEVELOPMENT_INC.txt - Found 1 companies
📖 Processed: GIOVANNI_CONSTRUCTION.txt - Found 1 companies
📖 Processed: CF_TRINIDAD_CONSTRUCTION_AND_SUPPLIES_CORP.txt - Found 1 companies
📖 Processed: AL-B_DEVELOPMENT_CORPORATION.txt - Found 10 companies
📖 Processed: JTM_CONSTRUCTION.txt - Found 1 companies
📖 Processed: SOPHIA_GEU_CONSTRUCTION_AND_SUPPLY_CORPORATION.txt - Found 1 companies
📖 Processed: GP_H_CONSTRUCTION_SUPPLY.txt - Found 10 companies
📖 Processed: K84_CONSTRUCTION.txt - Found 1 companies
📖 Processed: J_SQUARE_BUILDERS.txt - Found 8 companies
📖 Processed: MAKAPA_CORPORATION.txt - Found 1 companies
📖 Processed: JAM_KONSTRUCT_CONSTRUCTION.txt - Found 1 companies
📖 Processed: DQT_BUILDERS_CORPORATION.txt - Found 1 companies
📖 Processed: ON_POINT_CONSTRUCTION.txt - Found 10 companies
📖 Processed: COFEJOK_CONSTRUCTION.txt - Found 1 companies
📖 Processed: FE_S_REYES_GENERAL_CONTRACTOR_CORP.txt - Found 1 companies
📖 Processed: AL_NOORWAY_CORPORATION.txt - Found 1 companies
📖 Processed: L_BUILDERS.txt - Found 10 companies
📖 Processed: PRIME_PACIFIC_MARINE_INDUSTRIAL_SERVICES_CORP.txt - Found 1 companies
📖 Processed: CONCRETE_PRODUCTS.txt - Found 9 companies
📖 Processed: AT_BUILDERS_AND_GENERAL_MERCHANDISE.txt - Found 10 companies
📖 Processed: C_L_MORALES_CONSTRUCTION.txt - Found 2 companies
📖 Processed: E_R_DELA_CRUZ_CONSTRUCTION.txt - Found 6 companies
📖 Processed: AC_RIVERO_DEVELOPMENT_CORPORATION.txt - Found 1 companies
📖 Processed: AGONG_BUILDERS.txt - Found 1 companies
📖 Processed: PATRILA_BUILDERS_INC.txt - Found 1 companies
📖 Processed: 11_16_CONSTRUCTION.txt - Found 10 companies
📖 Processed: MONOLITHIC_CONSTRUCTION_AND_CONCRETE_PRODUCTS,_INC.txt - Found 1 companies
📖 Processed: GLOBALCRETE_BUILDERS_INC.txt - Found 1 companies
📖 Processed: 3-SIDES_BUILDERS.txt - Found 1 companies
📖 Processed: ADFIL_CORPORATION.txt - Found 1 companies
📖 Processed: INNOVATI_CONSTRUCTION.txt - Found 1 companies
📖 Processed: FAJR_CONSTRUCTION_PARTS_AND_SUPPLY.txt - Found 1 companies
📖 Processed: EC_SOLICON_BUILDERS.txt - Found 1 companies
📖 Processed: GVDPM_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: SHEPPERD_CONSTRUCTION_AND_SUPPLY.txt - Found 1 companies
📖 Processed: SYNDTITE_CONSTRUCTION_CORPORATION.txt - Found 1 companies
📖 Processed: F_P_DE_GUZMAN_CONSTRUCTION_INC.txt - Found 1 companies
📖 Processed: LL_CONSTRUCTION.txt - Found 10 companies
📖 Processed: FLORDES_CONSTRUCTION_AND_TRADING_CORP.txt - Found 1 companies
📖 Processed: MUANA_CONSTRUCTION_AND_DEVELOPMENT_CORP.txt - Found 1 companies
📖 Processed: LANOY_CONSTRUCTION.txt - Found 1 companies
📖 Processed: CIRCLE_Z_VENTURES_DEVELOPMENT_CORP.txt - Found 1 companies
📖 Processed: ALTA_NEGROS_INDUSTRIAL_SUPPLY_CORPORATION.txt - Found 1 companies
📖 Processed: GREENWALL_CONSTRUCTION.txt - Found 1 companies
📖 Processed: ON_POINT_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION.txt - Found 1 companies
📖 Processed: J_E_G_CONSTRUCTION_FIRM_CORPORATION.txt - Found 2 companies
📖 Processed: L_N_SALVADOR_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: KAUIE_BUILDERS.txt - Found 1 companies
📖 Processed: ST_LOUISE_PRIME_BUILDERS_DEVELOPMENT_CORP.txt - Found 1 companies
📖 Processed: J_T_GAMOLO_CONSTRUCTION.txt - Found 1 companies
📖 Processed: BIG_G_BUILDERS.txt - Found 1 companies
📖 Processed: HIMULICO_CONSTRUCTION_AND_SUPPLY_CORPORATION.txt - Found 1 companies
📖 Processed: BADOC_BUILDERS_SUPPLY.txt - Found 1 companies
📖 Processed: EQUIPMENT_SERVICES_INC.txt - Found 10 companies
📖 Processed: DENNREY_CONSTRUCTION.txt - Found 1 companies
📖 Processed: R_A_PAHATI_CONST_SUPPLY_INC.txt - Found 1 companies
📖 Processed: DTC_CONSTRUCTION.txt - Found 1 companies
📖 Processed: JAGONBUILD_CONSTRUCTION_CORP.txt - Found 1 companies
📖 Processed: CANLAON_BUILDERS.txt - Found 2 companies
📖 Processed: AGONG_BUILDERS_AND_CONSTRUCTION_SUPPLY,_INC.txt - Found 1 companies
📖 Processed: DIADEMA_CONSTRUCTION.txt - Found 1 companies
📖 Processed: VICTORIANO_C_LIM_CONSTRUCTION.txt - Found 1 companies
📖 Processed: IA_FERRER_CONSTRUCTION.txt - Found 1 companies
📖 Processed: BUILDZONE_CONSTRUCTION.txt - Found 1 companies
📖 Processed: WTG_CONSTRUCTION_AND_DEVELOPMENT_CORPORATION.txt - Found 1 companies
📖 Processed: PABLO_S_LABASBAS_CONSTRUCTION.txt - Found 1 companies
📖 Processed: JAMPAT_BUILDERS.txt - Found 1 companies
📖 Processed: NB_AVILA_CONSTRUCTION.txt - Found 3 companies
📖 Processed: 5S_DEVELOPMENT_CORPORATION.txt - Found 10 companies
📖 Processed: TM_ABAD_CONSTRUCTION.txt - Found 1 companies
📖 Processed: DANSBURG_MACRO-BUILDERS_INC.txt - Found 1 companies
📖 Processed: JAMJLE_PROPERTIES.txt - Found 1 companies
📖 Processed: R.F._FLORES_CONSTRUCTION.txt - Found 5 companies
📖 Processed: CHU_CONSTRUCTION.txt - Found 1 companies
📖 Processed: EC_BUILDERS.txt - Found 10 companies
📖 Processed: GOLDEN_CONSTRUCTION.txt - Found 7 companies
📖 Processed: C_B_GARAY_PHILWIDE_BUILDERS.txt - Found 2 companies
📖 Processed: BIGA_CONSTRUCTION.txt - Found 1 companies
📖 Processed: JASMIN_CONSTRUCTION.txt - Found 1 companies
📖 Processed: CABUGUIASAN_BUILDERS.txt - Found 4 companies
📖 Processed: MM_SERRANO_CONSTRUCTION_COMPANY.txt - Found 2 companies
📖 Processed: J_A_OLIVAR_ENGINEERING_DESIGN_CONSTRUCTION.txt - Found 10 companies
